food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,1,gram,4,0,1,0,0,0,0,0,1,0,0,0,0,0
đường,gia vị,2,gram,8,0,2,0,0,0,0,0,2,0,0,0,0,0
đường,gia vị,3,gram,12,0,3,0,0,0,0,0,3,0,0,0,0,0
đường,gia vị,5,gram,19,0,5,0,0,0,0,0,5,0,0,0,0,0
đường,gia vị,9,gram,35,0,9,0,0,0,0,0,8.99,0,0,0,0,0
đường,gia vị,10,gram,39,0,10,0,0,0,0,0,9.99,0,0,0,0,0
đường,gia vị,11,gram,43,0,11,0,0,0,0,0,10.99,0,0,0,0,0
đường,gia vị,13,gram,50,0,13,0,0,0,0,0,12.99,0,0,0,0,0
đường,gia vị,15,gram,58,0,15,0,0,0,0,0,14.99,0,0,0,0,0
đường,gia vị,19,gram,58,0,19,0,0,0,0,0,18.98,0,0,0,0,0
đường,gia vị,20,gram,77,0,20,0,0,0,0,0,19.98,0,0,0,0,0
đường,gia vị,21,gram,81,0,21,0,0,0,0,0,20.98,0,0,0,0,0
đường,gia vị,23,gram,89,0,23,0,0,0,0,0,22.98,0,0,0,0,0
đường,gia vị,25,gram,97,0,25,0,0,0,0,0,24.98,0,0,0,0,0
đường,gia vị,29,gram,112,0,28.99,0,0,0,0,0,28.97,0,0,1,0,0
đường,gia vị,30,gram,116,0,29.99,0,0,0,0,0,29.97,0,0,1,0,0
đường,gia vị,31,gram,120,0,30.99,0,0,0,0,0,30.97,0,0,1,0,0
đường,gia vị,33,gram,128,0,32.99,0,0,0,0,0,32.97,0,0,1,0,0
đường,gia vị,35,gram,135,0,34.99,0,0,0,0,0,34.97,0,0,1,0,0
đường,gia vị,39,gram,151,0,38.99,0,0,0,0,0,38.96,0,0,1,0,0
đường,gia vị,40,gram,155,0,39.99,0,0,0,0,0,39.96,0,0,1,0,0
đường,gia vị,41,gram,159,0,40.99,0,0,0,0,0,40.96,0,0,1,0,0
đường,gia vị,43,gram,166,0,42.99,0,0,0,0,0,42.96,0,0,1,0,0
đường,gia vị,45,gram,174,0,44.99,0,0,0,0,0,44.96,0,0,1,0,0
đường,gia vị,49,gram,190,0,48.99,0,0,0,0,0,48.96,0,0,1,0,0
đường,gia vị,50,gram,194,0,49.99,0,0,0,0,0,49.96,0,0,1,0,0
đường,gia vị,51,gram,197,0,50.99,0,0,0,0,0,50.95,1,0.01,1,0,0
đường,gia vị,53,gram,205,0,52.99,0,0,0,0,0,52.95,1,0.01,1,0,0
đường,gia vị,55,gram,205,0,54.99,0,0,0,0,0,54.95,1,0.01,1,0,0
đường,gia vị,59,gram,205,0,58.99,0,0,0,0,0,58.95,1,0.01,1,0,0
đường,gia vị,60,gram,232,0,59.99,0,0,0,0,0,59.95,1,0.01,1,0,0
đường,gia vị,61,gram,236,0,60.99,0,0,0,0,0,60.95,1,0.01,1,0,0
đường,gia vị,63,gram,244,0,62.99,0,0,0,0,0,62.94,1,0.01,1,0,0
đường,gia vị,65,gram,252,0,64.99,0,0,0,0,0,64.94,1,0.01,1,0,0
đường,gia vị,69,gram,267,0,68.99,0,0,0,0,0,68.94,1,0.01,1,0,0
đường,gia vị,70,gram,271,0,69.99,0,0,0,0,0,69.94,1,0.01,1,0,0
đường,gia vị,71,gram,275,0,70.99,0,0,0,0,0,70.94,1,0.01,1,0,0
đường,gia vị,73,gram,283,0,72.99,0,0,0,0,0,72.93,1,0.01,1,0,0
đường,gia vị,75,gram,290,0,74.98,0,0,0,0,0,74.93,1,0.01,2,0,0
đường,gia vị,79,gram,306,0,78.98,0,0,0,0,0,78.93,1,0.01,2,0,0
đường,gia vị,80,gram,310,0,79.98,0,0,0,0,0,79.93,1,0.01,2,0,0
đường,gia vị,81,gram,313,0,80.98,0,0,0,0,0,80.93,1,0.01,2,0,0
đường,gia vị,83,gram,321,0,82.98,0,0,0,0,0,82.93,1,0.01,2,0,0
đường,gia vị,85,gram,329,0,84.98,0,0,0,0,0,84.93,1,0.01,2,0,0
đường,gia vị,89,gram,344,0,88.98,0,0,0,0,0,88.92,1,0.01,2,0,0
đường,gia vị,90,gram,348,0,89.98,0,0,0,0,0,89.92,1,0.01,2,0,0
đường,gia vị,91,gram,352,0,90.98,0,0,0,0,0,90.92,1,0.01,2,0,0
đường,gia vị,93,gram,360,0,92.98,0,0,0,0,0,92.92,1,0.01,2,0,0
đường,gia vị,95,gram,368,0,94.98,0,0,0,0,0,94.91,1,0.01,2,0,0
đường,gia vị,99,gram,383,0,98.98,0,0,0,0,0,98.91,1,0.01,2,0,0
đường,gia vị,100,gram,387,0,99.98,0,0,0,0,0,99.91,1,0.01,2,0,0
đường,gia vị,101,gram,391,0,100.98,0,0,0,0,0,100.91,1,0.01,2,0,0
đường,gia vị,103,gram,399,0,102.98,0,0,0,0,0,102.91,1,0.01,2,0,0
đường,gia vị,105,gram,406,0,104.98,0,0,0,0,0,104.91,1,0.01,2,0,0
đường,gia vị,109,gram,422,0,108.98,0,0,0,0,0,108.91,1,0.01,2,0,0
đường,gia vị,110,gram,426,0,109.98,0,0,0,0,0,109.9,1,0.01,2,0,0
đường,gia vị,111,gram,430,0,110.98,0,0,0,0,0,110.9,1,0.01,2,0,0
đường,gia vị,113,gram,430,0,112.98,0,0,0,0,0,112.9,1,0.01,2,0,0
đường,gia vị,115,gram,445,0,114.98,0,0,0,0,0,114.9,1,0.01,2,0,0
